ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1,-46648772,-23544521,355030826000098,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Monteiro Lobato (Inclui Ônibus Biblioteca),,"R Gal Jardim, 485",3256-4122,V. Buarque,01223-01,1,1,1936/04/14,
2,-46799296,-23686654,355030819000209,3550308005295,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CEU Feitiço da Vila,,"Rua Feitiço da Vila, s/nº",,Chácara Santa Maria,05879-000,2,1,,
3,-46779965,-23734886,355030843000272,3550308005289,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CEU Vila do Sol,,"Av dos Funcionários Públicos, 369",,Jardim Ângela,04962-000,2,1,,
4,-46723624,-23828021,355030855000021,3550308005301,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,Ponto de Leitura Carolina Maria de Jesus,,"R Terezinha do Prado Oliveira, 119",5921-3665,Parelheiros,04890-090,2,1,2008/06/20,
5,-46696745,-23727619,355030823000082,3550308005219,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CEU Vila Rubi,,"Rua Domingos Tarroso,  101",,Vila Rubi,04823-090,2,1,,
6,-46680251,-23766963,355030830000600,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Ana Aurora do Amaral Lisboa - CEU Três Lagos,,"Es do Barro Branco, s/n - J. Noronha",5976.5661,Jardim Noronha,,2,1,2003/12/19,
7,-46691338,-23735413,355030830000284,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Ponto de Leitura Graciliano Ramos,Calcadao Cultural do Grajaú,"R  Prof. Oscar Barreto Filho, 252",3496-9638,Parque America,,2,1,,
8,-46764028,-23695899,355030843000053,3550308005291,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CEU Guarapiranga,,"Es da Baronesa, 1.120",,Jardim Kagoara,04919-000,2,1,,
9,-46772646,-23686171,355030843000127,3550308005292,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,Ponto de Leitura Pc do Bambuzal,,"R da Colônia Nova, s/n",5833-3567,Jardim Ângela,05871-270,2,1,2008/09/27,
10,-46785335,-23648416,355030817000183,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CEU Canto do Amanhecer,,R Prudêncio do Amaral com Av Cantos do Amanhecer,,Jardim Mitsutani,05791-230,2,1,,
11,-46779310,-23637081,355030817000050,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Joao do Rio - CEU Campo Limpo,,"Av Carlos Lacerda, 678 - Chacara São Pedro",5843.4837/,Chácara São Pedro,,2,1,2004/04/17,
12,-46773759,-23632478,355030817000190,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Helena Silveira,,"R Dr João B. Reimao, 146",5841-1259,Campo Limpo,05788-27,2,1,1988/11/05,
13,-46744029,-23645847,355030846000282,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,Patativa do Assare - CEU Casa Branca,,"R João Damasceno, 85 - Jdim. Casa Blanca",5519.5212,Jardim Casa Blanca,,2,1,2004/06/27,
14,-46756851,-23617253,355030817000135,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Marcos Rey,,"Av. Anacé, 92",5845-2572,Jd. Umarizal,05755-09,2,1,1981/07/12,
15,-46703901,-23709975,355030823000169,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,Rubem Braga - CEU Cidade Dutra,,"Av Interlagos, 7.350 - Jdim. São  Nicolau",5668.1952,Jardim São Nicolau,,2,1,2003/08/30,
16,-46707708,-23650058,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Belmonte (Temática em Cultura Popular - 04/08/2007),,"R Paulo Eiró, 525",5687-0408,Santo Amaro,04754-01,2,1,1953/01/25
17,-46708350,-23644396,355030871000035,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Prestes Maia,,"Av João Dias, 822",5687-0513,Santo Amaro,04724-00,2,1,1965/04/04
18,-46662568,-23593772,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Espaço Sapucaia - Biblioteca,,"Av IV Centenário, 1268, Portao 7 A",5572-1004,Parque Ibirapuera,,2,1,
19,-46795107,-23429424,355030803000017,3550308005241,03,ANHANGUERA,1,PERUS,Norte,Norte 1,Ponto de Leitura União dos Moradores do Parque Anhanguera,,"R Amadeo Caego Monteiro, 209",3911-3394/3911-3048,Parque Anhanguera,05271-000,2,1,2008/05/30
20,-46750718,-23581705,355030867000108,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,Roberto Marinho - CEU Butantã,,"Av Eng. Heitor Antônio Eiras Garcia, 1700 J.Esmeralda",3732.4550,Jardim Esmeralda,,2,1,2003/09/27
21,-46737742,-23575414,355030812000019,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Camila Cerqueira César,,"R Valdemar Sanches, 41",3731-5210,Butantã,05589-05,2,1,1988/11/06
22,-46761972,-23480180,355030895000109,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Maria Benedita Camara Bormann - CEU Vila Atlântica,,"R Cel. José Venâncio Dias, 840 - J. Nardini",3901.8744/,Jardim Nardini,,2,1,2003/10/12
23,-46739866,-23485379,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Brito Broca,,"Av Mutinga, 1.425",3904-1444,Pirituba,05110-00,2,1,1965/03/04
24,-46700538,-23557571,355030802000060,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alvaro Guerra,,"R Pedroso de Morais, 1.919",3031-7784,Pinheiros,05419-00,2,1,1955/05/15
25,-46700701,-23534976,355030848000044,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Clarice Lispector,,"R Jaricunas, 458",3672-1423,Vila Ipojuca,05053-07,2,1,1956/09/07
26,-46683738,-23586442,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Anne Frank,,"R Cojuba, 45",3078-6352,Itaim,Pinheiros/PI,2,1,1946/01/25
27,-46661688,-23590457,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Bosque de Leitura - Ibirapuera,,"Av República do Líbano, 1.151 - Portão 7",3253-2331,Pq. Ibirapuera,04502-00,2,1,
28,-46681791,-23557945,355030862000093,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alceu Amoroso Lima (Temática em Poesia - 02/09/2006),,"R Henrique Schaumann, 777",3082-5023,Pinheiros,05413-02,2,1,1979/12/11
29,-46699938,-23526128,355030848000104,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Mario Schenberg (Temática em Ciências),,"R Catao, 611",3672-0456,Lapa,05049-00,2,1,1966/11/26
30,-46700520,-23486018,355030829000012,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Thales Castanho de Andrade,,"R Arthur Fajardo, 447",3975-7439,Freg. do Ó,02963-00,2,1,1965/04/16
31,-46700703,-23480837,355030829000168,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Afonso Schmidt,,"Av Elisio T. Leite, 1.470",3975-2305,Vila Cruz das Almas,02801-00,2,1,1965/04/16
32,-46672574,-23496621,355030850000006,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,Menotti Del Picchia,,"R São  Romualdo, 382",3966-4814,Limao,02557-06,2,1,1992/09/25
33,-46670054,-23475764,355030813000078,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,Centro Cultural da Juventude Ruth Cardoso,Biblioteca do Centro Cultural da Juventude,"Av Deputado Emílio Carlos, 3641",3984-2466,Vila Nova Cachoeirinha,,2,1,
34,-46777806,-23413823,355030803000050,3550308005241,03,ANHANGUERA,1,PERUS,Norte,Norte 1,Bosque de Leitura Anhanguera,,"Av Fotunata Tadiello Natucci, 1000 (continuacão da R Sílvio de Campos)",,Perus,05204-000,2,1,2007/10/21
35,-46749850,-23436165,355030842000151,3550308005185,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,Educador Paulo Freire - CEU Pêra Marmelo,,"R Pêra-Marmelo, 226 - Vila Aurora",3948.3915,Vila Aurora,,2,1,2003/11/13
36,-46754380,-23406715,355030861000010,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,Padre José de Anchieta,,"R Antônio Maia, 651",3917-0751,Perus,05204-11,2,1,1966/09/03
37,-46751949,-23405578,355030861000001,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,João Antônio - CEU Perus,,"R Bernardo José de Lourena, s/n",39158750 /,Perus,,2,1,2003/08/25
38,-46715423,-23444501,355030842000143,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,Érico Veríssimo,,"R Diógenes Dourado, 101",3972-0450,Parada Taipas,02815-14,2,1,1986/09/15
39,-46704432,-23461162,355030829000231,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CEU Jardim Paulistano,,"R Encruzilhada do Sul, S/N",,Freguesia do Ó,02816-010,2,1,
40,-46688383,-23447468,355030811000221,3550308005189,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Augusto dos Anjos - CEU Paz,,"R da Paz, s/n",3986.3450,Brasilândia,,2,1,2004/05/15
41,-46660064,-23742928,355030830000293,3550308005304,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Narcisa Amalia Campos - CEU Navegantes,,"R Maria Moassab Barbour, s/n",5976.5544/,Grajaú,,2,1,2003/12/12
42,-46643835,-23704186,355030858000062,3550308005213,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,Raquel de Queiroz - CEU Alvarenga,,"Es do Alvarenga, 3752  -  Balneário S. Francisco",5672.2540/,Balneário S. Francisco,,2,1,2003/12/09
43,-46644370,-23650361,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Paulo Duarte,,"R Arsênio Tavolieri, 45",5011-7445,Jabaquara,04321-03,2,1,1980/07/12
44,-46615948,-23612004,355030827000030,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,Amadeu Amaral,,R José Clóvis Castro s/n,5061-3320,Jardim da Saúde,04290-10,2,1,1966/10/06
45,-46589805,-23630876,355030868000054,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,Castro Alves,,"R Abrahao Mussa, s/n",6946-4562,Jd. Patente,04256-19,2,1,1988/11/06
46,-46584238,-23621136,355030868000250,3550308005086,69,SACOMA,13,IPIRANGA,Sul,Sul 1,Wally Salomão - CEU Meninos,,"R Barbinos, 112 - J. Patente",6945.2543,Jardim Patente,,2,1,2003/10/28
47,-46547401,-23594544,355030872000014,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,Aureliano Leite,,"R Otto Schubart, 196",6211-7716,Parque São Lucas,03238-03,2,1,1981/07/08
48,-46516378,-23600642,355030876000027,3550308005156,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,Gilberto Freyre,,"R José Joaquim, 290",6103-1811,Sapopemba,03272-00,2,1,1988/08/27
49,-46500383,-23621335,355030876000182,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,Juo Bananere - CEU Rosa da China,,"R Clara Petrella, s/n - Jd. São  Roberto",6701.2356,Jardim São Roberto,,2,1,2003/08/10
50,-46493162,-23609105,355030876000170,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,CEU Sapopemba,,R Manuel Quirino de Mattos com R Victoria Marconato Santos,,Jardim Sapopemba,03969-000,2,1,
51,-46456154,-23619541,355030875000154,3550308005277,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,Mario Palmerio - CEU São  Rafael,,"R Cinira Polonio, 100 - j. Rio Claro",6752.1052/,Jardim Rio Claro,,2,1,2004/03/28
52,-46448766,-23602704,355030833000070,3550308005274,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,Camilo Pedro dos Reis - CEU São  Mateus,,"R Curumatim, 201 - Pque Boa Esperança",6732.8154,Parque Boa Esperanca,,2,1,2003/11/08
53,-46406242,-23593711,355030825000208,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CEU Água Azul,,"Av dos Metalúrgicos, S/N",,Cidade Tiradentes,08471-000,2,1,
54,-46398670,-23600400,355030825000286,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,Ponto de Leitura André Vital,,"Av dos Metalúrgicos, 2255",2282-2562,Cidade Tiradentes,08470-000,2,1,2006/07/17
55,-46638237,-23592741,355030890000029,3550308005021,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Viriato Correa (Temática em Literatura Fantástica),,"R Sena Madureira, 298",5573-4017/,V. Mariana,04021-05,2,1,1952/07/25
56,-46639819,-23569854,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Sergio Milliet (Inclui a Bibl. Alfredo Volpi (marco/1983 - denom. Set/1996) e Discoteca Oneyda Alvar,,"R Vergueiro, 1.000",3277-3611,Paraíso,01504-00,2,1,1983/03
57,-46639819,-23569854,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Gibiteca Municipal Henfil - Centro Cultural São  Paulo,,"R Vergueiro, 1.000",3277-3611,Paraíso,01504-00,2,1,1991/05/03
58,-46639819,-23569854,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Biblioteca de Braile - Centro Cultural São  Paulo,,"R Vergueiro, 1.000",3277-3611,Paraíso,01504-00,2,1,1947/04/29
59,-46651000,-23547665,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,BMA - Biblioteca Circulante,,"R da Consolação, 1.024",3257-8787,Consolação,01302-00,2,1,
60,-46641586,-23546742,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Mário de Andrade,,"R da Consolação, 94",3241-3459,Consolação,01302-00,2,1,1925/02/25
61,-46641586,-23546742,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,BMA - Ônibus Biblioteca,,"R da Consolação, 94",3241-3459,Consolação,01302-00,2,1,
62,-46638595,-23542981,355030866000002,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Ponto de Leitura Olido,,"Av São João, 473",3397-0176,Centro,01035-000,2,1,2008/08/22
63,-46406980,-23563494,355030825000001,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,Ponto  de Leitura Juscelino Kubitschek,,"R Inácio Monteiro, 55",2556-3036,Cidade Tiradentes,08470-000,2,1,2006/07/17
64,-46633372,-23532059,355030809000012,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Bosque de Leitura da Luz,,"R Ribeiro de Lima, 99 - Parque da Luz",,Luz,,2,1,
65,-46628364,-23572076,355030849000023,3550308005007,49,LIBERDADE,9,SE,Centro,Centro,Raul Bopp (Temática em Meio Ambiente),,"R Muniz de Souza, 1.155",3208-1895,Aclimação,01534-00,2,1,1961/02/21
66,-46628607,-23571915,355030849000008,3550308005007,49,LIBERDADE,9,SE,Centro,Centro,Bosque de Leitura da Aclimação,,"R Muniz de Souza, 1119",,Aclimação,01534-001,2,1,2007/10/21
67,-46601924,-23587138,355030834000013,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Roberto Santos (Temática em Cinema),,"R Cisplatina, 505",2273-2390,Ipiranga,04211-04,2,1,1965/04/03
68,-46597482,-23550688,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,Affonso Taunay,,"R Taquari, 549",6292-5126,Mooca,03166-00,2,1,1965/02/02
69,-46632029,-23482198,355030851000070,3550308005129,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,Pedro da Silva Nava,,"Av Eng.Caetano Álvares , 5.903",6973-7293,Mandaqui,02413-10,2,1,1988/12/17
70,-46626935,-23496265,355030870000015,3550308005063,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Narbal Fontes,,"Av Cons. Moreira de Barros, 170",6973-4461,Santana,02018-01,2,1,1954/03/27
71,-46619105,-23497985,355030870000042,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Nuto Sant'Anna,,"Pc Tenório Aguiar, 32",6973-0072,Santana,02044-08,2,1,1957/02/07
72,-46610337,-23526021,355030856000018,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo,,"Pc Ilo Otani, 146",292-3439,Caninde,03028-00,2,1,1966/10/06
73,-46604055,-23481163,355030882000005,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,Sylvia Orthof,,"Av Tucuruvi, 808",6981-6264,Tucuruvi,02276-01,2,1,1981/07/12
74,-46582781,-23581385,355030893000064,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,Ricardo Ramos,,"Pc Centenário de Vila Prudente, 25",2273-4860,Vila Prudente,03132-05,2,1,1956/09/07
75,-46572442,-23552249,355030801000118,3550308005039,01,AGUA RASA,25,MOOCA,Leste,Leste 1,Paulo Sergio Milliet,,Pc Ituzaingo s/n,6671-4974,Mooca,03334-02,2,1,1956/09/07
76,-46571838,-23535770,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Hans Christian Andersen (Temática em Contos de Fadas - 10/11/2007),,"Av Celso Garcia, 4.142",2295-3447,Tatuapé,03064-00,2,1,1952/07/09
77,-46574846,-23528840,355030880000052,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Bosque de Leitura - Piqueri,,"R Tuiuti, 515",3253-2331,Tatuapé,03081-00,2,1,
78,-46571487,-23535622,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Cassiano Ricardo (Temática em M?sica - 10/11/2007),,"Av Celso Garcia, 4.200",6192-4570,Tatuapé,03064-00,2,1,1953/02/03
79,-46539860,-23571300,355030885000015,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,Paulo Set?bal,,"Av Renata, 163",6211-1507,Vila Formosa,03377-00,2,1,1966/10/07
80,-46539860,-23571300,355030885000015,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,Jose Paulo Paes,,"Av Renata, 163",6211-1508,V. Formosa,03377-00,2,1,1971/12/17
81,-46531415,-23546408,355030820000011,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,Lenyra Fraccaroli,,"Pc Haroldo Daltro, 451",2295-2295,Vila Manchester,03444-09,2,1,1956/09/07
82,-46592066,-23503401,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Álvares  de Azevedo,,Pc Joaquim José da Nova s/n,6954-3118,Vila Maria,02126-00,2,1,1956/09/07
83,-46564291,-23476408,355030839000101,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,Jose Mauro de Vasconcelos,,"Pc Cmte. Eduardo Oliveira, s/n",6242-8196,Parque Edu Chaves,02233-06,2,1,1991/09/06
84,-46583660,-23456529,355030881000113,3550308005133,83,TREMEMBE,6,JACANA-TREMEMBE,Norte,Norte 2,CEU Jacanã,,"Av Antônio Cesar Neto, S/N",,Guapira,02276-000,2,1,
85,-46503135,-23569836,355030824000082,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,Milton Santos,,"Av Aricanduva, 5.777",6726-4882,Jardim Aricanduva,03527-00,2,1,2001/11/21
86,-46502727,-23570016,355030824000082,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,Mario Quintana - CEU Aricanduva,,"Av Olga Fadel Abarca, s/n - Av Aricanduva, alt. 5555 - quadra 280",6723.7556/,Jardim Santa Terezinha,,2,1,2003/09/07
87,-46468298,-23569899,355030857000078,3550308005205,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,Bosque de Leitura do Carmo,,"Av Afonso de Sampaio e Souza, 951",,Parque do Carmo,,2,1,
88,-46484356,-23545981,355030805000081,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,Jovina Rocha Alvares  Pessoa,,"Av Padre Francisco de Toledo, 331 - Cohab I",6741-7371,Itaquera,03590-12,2,1,1982/01/24
89,-46495556,-23497791,355030818000142,3550308005138,18,CANGAIBA,21,PENHA,Leste,Leste 1,CEU Quinta do Sol,,Av Luis Imparato com Av Olavo Egídio de Souza Aranha,,Vila Cisper - Penha,03819-160,2,1,
90,-46473056,-23509239,355030887000129,3550308005195,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,Barbosa Lima SoBrinho CEU Parque São  Carlos,,"R Clarear, 141 - Jdim. São Carlos",6145.4255,Jardim São Carlos,,2,1,2003/12/03
91,-46480025,-23485919,355030828000102,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,Rubens Borba Morais,,"R Sampei Sato, 440",6943-5255,Ermelino Matarazzo,03814-00,2,1,1990/05/19
92,-46448760,-23533051,355030837000015,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,Sergio Buarque de Holanda,,"R Augusto C. Baumann, 564",6205-7406,Itaquera,08210-59,2,1,1981/01/25
93,-46435405,-23553200,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vinicius de Morais,,"R Jardim Tamoio, 1.119 - Itaquera II",6521-6914,Itaquera,08255-01,2,1,1984/05/10
94,-46439929,-23549538,355030847000037,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vicente de Carvalho,,"R Guilherme Valência, 210",6521-0553,Cohab.II Itaquera,08253-28,2,1,1985/05/10
95,-46410875,-23569612,355030825000247,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,Adelaide de Castro Alves Guimarães - CEU Inácio Monteiro,,"R Br Barroso do Amazonas, s/n -  Prestes Maia",6518.9014,Prestes Maia,,2,1,2003/11/21
96,-46403566,-23574617,355030825000246,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,Ponto de Leitura Parque do Rodeio,,"R Igarape da Bela Aurora, s/n",2555-4655,Cidade Tiradentes,08472-200,2,1,2006/09/30
97,-46422569,-23538130,355030896000121,3550308005258,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,Eugênia Alvaro Moreyra - CEU Jambeiro,,"R Flôlres do Jambeiro, 61 - Guaianases",6960.2055,Guaianases,,2,1,2003/08/01
98,-46409366,-23544176,355030831000058,3550308005264,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,Cora Coralina,,"R Otelo A. Ribeiro, 113",6557-8004,Guaianases,08461-00,2,1,1966/05/21
99,-46409426,-23537006,355030896000005,3550308005259,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,Jamil Almansur Haddad,,"R Andes, 491-A",6557-0067,Guaianases,08440-18,2,1,1991/04/06
100,-46400011,-23543723,355030896000087,3550308005260,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,CEU Lajeado,,"R Manuel da Mota Coutinho, 293",,Lajeado - Zona Leste,08451-420,2,1,
101,-46456481,-23521117,355030837000065,3550308005199,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CEU Azul da Cor do Mar,,"Av Ernesto Souza Cruz, 2171",,Cidade Antônio Estevão de Carvalho,08225-380,2,1,
102,-46436929,-23494790,355030874000094,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,Raimundo de Menezes,,"Av Marechal Tito, 916",6297-4053,Sao  Miguel Paulista,08010-09,2,1,1980/07/12
103,-46448832,-23487111,355030874000134,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,Ponto de Leitura Jardim Lapenna,,"R Serra da Juruoca, s/n - Jardim Lapenna - São  Miguel Paulista",2297-3532,Jardim Lapenna,,2,1,2009/06/16
104,-46420306,-23501251,355030884000193,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,Vicente Paulo Guimarães,,"R Jaguar, 225",6135-5322,Vila Curuçá,08030-46,2,1,1990/02/21
105,-46411810,-23494879,355030884000107,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,Joao Cabral de Mello Neto - CEU Vila Curuçá,,"Av Marechal Tito, 3.400 -V. Curuçá",6563.6150,Vila Curuçá,,2,1,2003/11/28
106,-46421108,-23491390,355030844000181,3550308005246,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,Ponto de Leitura Vila Mara,,"R Conceição do Almeida, 170",2586-2526,Jardim Helena,08081-370,2,1,2008/10/16
107,-46389493,-23512633,355030836000285,3550308005254,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,Paulo Leminski - CEU Parque Veredas,,"R Daniel Pedro Muller, s/n- Camargo Velho",6563.6249,Camargo Velho,,2,1,2003/09/15
108,-46380748,-23477615,355030844000190,3550308005247,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,CEU Três Pontes,,R Capachos com R Catule,,São Miguel Paulista,08191-330,2,1,
109,-46725327,-23558172,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Biblioteca Central da USP,,Cidade Universitária,818-5360,Cidade Universitária,05508-90,2,2,
110,-46640005,-23534353,355030869000101,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,CONDEPHAAT - Biblioteca,,"R Mauá, 51",3351-8002/,Centro,,2,2,
111,-46625852,-23514792,355030870000058,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Arquivo do Estado - Biblioteca,,"R Voluntários da Pátria, 596",6221-4785,Santana,01307-01,2,2,
112,-46635088,-23549072,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Memorial'32 - Centro de Estudos Jose Bourroul,Revolucao Constitucionalista de 32 - Hist. de SP,"R Benjamim Constant, 158 - 4º andar",3104-5050,Centro,,2,4
113,-46756012,-23661774,355030846000179,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,Casa de Cultura de Sacolao das Artes,,"Av Cândido José Xavier,577 Pq Sto Antônio",5819-2564,Santo Amaro,05822-020,3,1
114,-46742010,-23672626,355030846000001,3550308005222,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CC do M'Boi Mirim,,"R Inácio Dias da Silva, s/n",5514-3408,M'Boi Mirim,04913-18,3,1
115,-46775111,-23633129,355030817000190,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Casa de Cultura Campo Limpo,,"R Haroldo de Azevedo,alt do, 100 cep",5512-8026,,,3,1
116,-46702782,-23711156,355030823000062,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CC de Interlagos,,"R Padre José  Garzotti, 545",5669-2765,Cidade Dutra,04806-00,3,1
