Id Dotação,Sigla da Empresa,Descrição da empresa,Código do órgão,Descrição do órgão,Código da unidade,Descrição da unidade,Código da função,Descrição da função,Código da subfunção,Descrição da subfunção,Código do programa do governo,Descrição do programa do governo,Código do projeto/atividade,Descrição do projeto/atividade,Código da conta despesa,Descrição da conta despesa,Código da categoria econômica,Descrição da categoria econômica,Código do grupo de natureza da despesa,Descrição do grupo de natureza da despesa,Código da modalidade de aplicação,Descrição da modalidade de aplicação,Código do elemento de despesa,Descrição do elemento de despesa,Código da fonte de recurso,Descrição da fonte de recurso,Exercício,Proposto,Orçado,Atualizado,EmpenhadoBruto,Anulado,EmpenhadoLiquido,Liquidado,Pago,Congelado,RestosSaldoTransferido,RestosProcessados,RestosNaoProcessados,RestosLiquidado,RestosPago,RestosCancelado,RestosSaldo
52587,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,31901300,Obrigações Patronais,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,13,Obrigações Patronais,00,Tesouro Municipal,2011,.00,32117750.00,30700000.00,30700000.00,.00,30700000.00,30700000.00,30700000.00,.00,.00,.00,.00,.00,.00,.00,.00
52594,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,33903100,Premiações Culturais Artísticas Científicas Desport. e Outras,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,31,Premiações Culturais Artísticas Científicas Desportivas e Outras,00,Tesouro Municipal,2011,.00,79166.00,70000.00,70000.00,.00,70000.00,70000.00,70000.00,.00,.00,.00,.00,.00,.00,.00,.00
52598,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,33903600,Outros Serviços de Terceiros - Pessoa Física,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,36,Outros Serviços de Terceiros - Pessoa Física,00,Tesouro Municipal,2011,.00,50000.00,20000.00,20000.00,.00,20000.00,20000.00,20000.00,.00,.00,.00,.00,.00,.00,.00,.00
52600,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,2011,.00,58030091.00,26000000.00,27000000.00,1000000.00,26000000.00,26000000.00,26000000.00,.00,.00,.00,.00,.00,.00,.00,.00
52601,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,33904900,Auxílio-Transporte,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,49,Auxílio-Transporte,00,Tesouro Municipal,2011,.00,600000.00,600000.00,600000.00,.00,600000.00,600000.00,600000.00,.00,.00,.00,.00,.00,.00,.00,.00
52611,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas,01,Legislativa,032,Controle Externo,2610,Suporte administrativo,1014,Reforma de Dependências do TCMSP,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,2011,.00,700000.00,4733054.09,5266576.86,553793.02,4712783.84,4699498.50,4699498.50,.00,13285.34,.00,13285.34,6062.21,6062.21,7223.13,.00
52612,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas,01,Legislativa,032,Controle Externo,2810,Controle Externo,2050,Administração doTribunal de Contas do Município de São Paulo,31209600,Ressarcimento de Despesas de Pessoal Requisitado,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,20,Transferências a União,96,Ressarcimento de Despesas de Pessoal Requisitado,00,Tesouro Municipal,2011,.00,214000.00,264000.00,264000.00,.00,264000.00,264000.00,264000.00,.00,.00,.00,.00,.00,.00,.00,.00
52617,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas,01,Legislativa,032,Controle Externo,2810,Controle Externo,2050,Administração doTribunal de Contas do Município de São Paulo,31909200,Despesas de Exercícios Anteriores,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,92,Despesas de Exercícios Anteriores,00,Tesouro Municipal,2011,.00,1619000.00,1619000.00,1619000.00,.00,1619000.00,1619000.00,1619000.00,.00,.00,.00,.00,.00,.00,.00,.00
52592,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,33901400,Diárias - Civil,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,14,Diárias - Civil,00,Tesouro Municipal,2011,.00,50000.00,32000.00,32000.00,.00,32000.00,32000.00,32000.00,.00,.00,.00,.00,.00,.00,.00,.00
52602,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,33909200,Despesas de Exercícios Anteriores,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,92,Despesas de Exercícios Anteriores,00,Tesouro Municipal,2011,.00,100000.00,30000.00,100000.00,70000.00,30000.00,30000.00,30000.00,.00,.00,.00,.00,.00,.00,.00,.00
52603,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,33909300,Indenizações e Restituições,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,93,Indenizações e Restituições,00,Tesouro Municipal,2011,.00,8000000.00,6000000.00,6000000.00,.00,6000000.00,6000000.00,6000000.00,.00,.00,.00,.00,.00,.00,.00,.00
52604,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,031,Ação Legislativa,2710,Processo Legislativo,2000,Administração da Câmara Municipal de São Paulo,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,Equipamentos e Material Permanente,00,Tesouro Municipal,2011,.00,2002098.00,300000.00,1200000.00,900000.00,300000.00,300000.00,300000.00,.00,.00,.00,.00,.00,.00,.00,.00
52605,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,09,Câmara Municipal de São Paulo,10,Câmara Municipal,01,Legislativa,122,Administração Geral,2920,Divulgação Oficial,2003,Câmara Municipal - Comunicação,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,2011,.00,38529125.00,28050000.00,31800000.00,3750000.00,28050000.00,28050000.00,28050000.00,.00,.00,.00,.00,.00,.00,.00,.00
52610,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas,01,Legislativa,032,Controle Externo,2610,Suporte administrativo,1013,Construção de Dependências do TCMSP,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,Obras e Instalações,00,Tesouro Municipal,2011,.00,2000000.00,4224200.00,4221390.09,312.13,4221077.96,4220967.52,4188700.82,.00,32377.14,32266.70,110.44,.00,32266.70,110.44,.00
52614,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas,01,Legislativa,032,Controle Externo,2810,Controle Externo,2050,Administração doTribunal de Contas do Município de São Paulo,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,11,Vencimentos e Vantagens Fixas - Pessoal Civil,00,Tesouro Municipal,2011,.00,153108000.00,144358000.00,156128000.00,11770000.00,144358000.00,144358000.00,144358000.00,.00,.00,.00,.00,.00,.00,.00,.00
52618,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas,01,Legislativa,032,Controle Externo,2810,Controle Externo,2050,Administração doTribunal de Contas do Município de São Paulo,31909400,Indenizações Trabalhistas,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,94,Indenizações e Restituições Trabalhistas,00,Tesouro Municipal,2011,.00,1829000.00,1829000.00,1829000.00,.00,1829000.00,1829000.00,1829000.00,.00,.00,.00,.00,.00,.00,.00,.00
