Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data Solicitação Parceria;Data do Encerramento
131;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2010-0.122.044-3   ;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306398;CR.P.CONV - BRASILIA LACERDA ARRUDA BOTELHO;155;64.0;84838.47;;;01/01/2013;30/06/2015;Encerrado;09/06/2010;01/07/2015;01/04/2014;30/06/2015
3622017;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;6016.2017/0041691-3;800011;ASSOCIACAO COMUNITARIA FAMILIA EM MISSAO;97.534.600/0001-71;308439;CR.P.CONV - FAMILIA SIAO;126;48.0;67997.34;8000.0;;12/01/2018;11/01/2023;Aprovado;12/01/2018;25/02/2019;10/11/2017;
4793;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2016-0.206.923-5   ;300200;ASSOCIACAO SAO GABRIEL;09.359.786/0001-02;307644;CR.P.CONV - ANEU GARANHANI;182;71.0;98619.18;6769.27;;11/10/2016;10/04/2019;Encerrado;11/10/2016;28/12/2017;19/09/2016;31/12/2017
3592017;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;6016.2017/0042078-3;300346;CENTRO DE APOIO COMUNITARIO DE PERUS;01.314.935/0001-05;400779;CR.P.CONV - PEQUENO PRINCIPE;60;;;5100.0;58.53;01/01/2018;31/12/2022;Aprovado;29/12/2017;20/07/2018;10/11/2017;
27;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;2010-0.009.096-1   ;300068;ASS ALIANCA DE MISERICORDIA;04.186.468/0001-73;307490;CR.P.CONV - MISERICORDIA II;50;;;;;25/08/2013;24/02/2016;Encerrado;25/02/2011;31/03/2016;07/08/2014;24/02/2016
607;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.344.282-8   ;300412;CRECHE DE JESUS MENINO;52.633.286/0001-46;306197;CR.P.CONV - JESUS MENINO;60;;;;;01/01/2008;30/06/2010;Encerrado;28/12/2007;15/01/2015;24/03/2014;
2060;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.997-1   ;300414;CENTRO SOCIAL COMUNITARIO JARDIM PRIMAVERA;47.424.296/0001-31;306271;CR.P.CONV - LEILA ATLAS, CEI;200;50.0;101634.0;;;01/07/2015;31/12/2017;Encerrado;01/07/2015;23/02/2018;05/08/2015;31/12/2017
2564;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.343.454-7   ;800164;ASSOCIACAO DE ASSISTENCIA SOCIAL ENY VIEIRA MACHADO;15.308.663/0001-45;306319;CR.P.CONV - SANTA MARCELINA CENTRO INFANTIL CRECHE;363;81.0;182121.03;;;01/02/2016;31/07/2018;Encerrado;01/02/2016;14/02/2018;29/01/2016;31/12/2017
4809;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.220.442-6   ;300181;INSTITUTO AMA SAO PAULO - AMASP;09.068.229/0001-32;400719;CEI INDIR - JOAO FERNANDES III;181;54.0;94082.97;;;01/01/2017;30/06/2019;Encerrado;26/10/2016;19/01/2018;26/10/2016;31/12/2017
316;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2013-0.345.366-1   ;300865;ASS NOVA ESPERANCA;00.098.011/0001-56;308024;CR.P.CONV - VOVO NAZIRA, CEI;75;32.0;47273.61;5688.0;257.11;21/12/2013;20/06/2016;Encerrado;23/12/2013;01/03/2016;15/07/2014;31/01/2016
1986;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;2015-0.147.994-2   ;300046;ASS BENEF .COMUNITARIA E CULT. NUCLEO DE ATENDIMENTO SOCIAL;07.190.699/0001-49;308292;CR.P.CONV - IGUATEMI;133;49.0;71374.17;8750.0;375.16;08/07/2015;07/01/2018;Encerrado;08/07/2015;06/02/2018;08/07/2015;01/01/2018
13712017;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;6016.2017/0054727-9;301007;ASS COMUNITARIA OLHANDO PARA O FUTURO;00.103.221/0001-95;308097;CR.P.CONV - OLHAR PARA O FUTURO;136;27.0;67427.76;7601.96;1746.23;01/01/2018;31/12/2022;Aprovado;29/12/2017;27/08/2018;28/12/2017;
1982017;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;6016.2017/0055711-8;300711;NUCLEO DE APOIO E DESENVOLVIMENTO HUMANO - NADHU;67.132.746/0001-20;400314;CEI INDIR - SHIRO KYONO VER;123;43.0;65450.79;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;11/03/2019;03/10/2017;
4972018;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;6016.2017/0050966-0;800251;INSTITUTO  CULTURAL SORRISO INOCENTE;23.896.714/0001-25;306747;CR.P.CONV - ANJINHO DO CEU;94;57.0;59216.52;4008.84;340.52;;;Encerrado;;06/04/2018;06/02/2018;31/01/2018
2275;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2015-0.188.431-6   ;300886;INSTITUTO EDUCACIONAL E DEF. DOS DIR.. HUMANOS CORA CORALINA;05.100.338/0001-39;307817;CR.P.CONV - PARAISO;88;68.0;62791.12;3591.65;;24/07/2015;23/01/2018;Encerrado;24/07/2015;19/01/2018;09/10/2015;31/12/2017
